Model,Test Accuracy,Test Loss,Weighted Precision,Weighted Recall,Weighted F1-score
Custom CNN,0.800000011920929,0.5257506966590881,1.0,0.8,0.8888888888888888
MobileNetV2,0.8500000238418579,0.4912507236003876,1.0,0.85,0.918918918918919
