,precision,recall,f1-score,support
C1,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0
C3,1.0,0.8,0.8888888888888888,240.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.3333333333333333,0.26666666666666666,0.2962962962962963,240.0
weighted avg,1.0,0.8,0.8888888888888888,240.0
